,score,turns_taken,execution_time,largest_tile
0,648,170,0.010358402999372629,64
1,436,140,0.007705383999564219,32
2,1576,314,0.018872709999413928,128
3,400,132,0.007255313000314345,32
4,876,210,0.011669239000184461,64
5,272,104,0.0060818239999207435,32
6,720,190,0.011203989999557962,64
7,788,212,0.012834619999921415,64
8,1984,320,0.017768661999980395,256
9,1400,280,0.015830594999897585,128
10,260,100,0.005370382999899448,32
11,648,172,0.009357823000755161,64
12,1296,264,0.015349608000178705,128
13,1316,270,0.014716504000716668,128
14,1204,246,0.01427415799935261,128
15,628,160,0.009057412999936787,64
16,676,182,0.010686411000278895,64
17,1448,294,0.017285689000345883,128
18,2680,430,0.024446266000268224,256
19,612,168,0.009358195999993768,64
20,364,130,0.00799851400006446,32
21,1292,268,0.01600057999985438,128
22,544,152,0.008391630000005534,64
23,1160,252,0.013879441999961273,128
24,628,174,0.009972406999622763,64
25,2180,400,0.022554040000613895,128
26,1356,282,0.018139954000616854,128
27,692,182,0.01066416699995898,64
28,508,148,0.008588706999944407,64
29,1312,282,0.016098987000077614,128
30,1184,266,0.01586049199977424,64
31,1088,230,0.013207375999627402,128
32,384,126,0.010049240999251197,32
33,636,178,0.010367713000050571,64
34,404,132,0.008023004000278888,32
35,668,180,0.010327368000616843,64
36,1400,290,0.017217573999914748,128
37,200,92,0.00528351300090435,16
38,852,180,0.010913829999481095,128
39,1152,238,0.0130406350008343,128
40,560,156,0.00832919100048457,64
41,708,188,0.010647751999385946,64
42,684,188,0.01057315500020195,64
43,740,196,0.010618185000566882,64
44,1064,230,0.014086721999774454,128
45,852,206,0.011960607999753847,64
46,620,172,0.01033526500032167,64
47,1712,318,0.01836515499962843,128
48,444,146,0.008230428000388201,32
49,624,166,0.009592967999196844,64
50,824,204,0.012062628000421682,64
51,1084,234,0.01345727399984753,128
52,944,206,0.011792229999628034,128
53,736,196,0.010086116000820766,64
54,1400,282,0.016307949000292865,128
55,992,236,0.012942726999426668,64
56,1304,264,0.01599027300017042,128
57,740,182,0.010644138999850838,64
58,636,178,0.011019711000699317,64
59,736,196,0.010998955000104615,64
60,596,162,0.009131206000347447,64
61,532,146,0.007575966000331391,64
62,628,176,0.01099335999970208,64
63,1060,230,0.013798772999507491,128
64,700,188,0.011047736999898916,64
65,868,208,0.013156478000382776,64
66,708,184,0.01052518200049235,64
67,1468,304,0.017277226999794948,128
68,1304,260,0.015202006999970763,128
69,960,228,0.014109038000242435,64
70,1560,320,0.01722588599932351,128
71,676,174,0.00920071100063069,64
72,1084,228,0.012616568000339612,128
73,1136,244,0.01417827200020838,128
74,792,208,0.01251742699969327,64
75,624,170,0.009518822999780241,64
76,428,138,0.008033537999835971,32
77,536,146,0.009202105000440497,64
78,1408,292,0.016998768000121345,128
79,888,216,0.01311700199948973,64
80,456,132,0.007344856000599975,64
81,248,100,0.005764328000623209,32
82,1320,274,0.015825108999706572,128
83,2272,374,0.020468919000450114,256
84,712,194,0.011250134999500006,64
85,1436,298,0.017430125999453594,128
86,2944,468,0.028633666000132507,256
87,100,62,0.003278189999946335,16
88,728,192,0.010522382000090147,64
89,656,174,0.010063333000289276,64
90,512,142,0.007980149999639252,64
91,896,218,0.013732981999964977,64
92,404,134,0.007142297999962466,32
93,1360,282,0.01640266799950041,128
94,576,158,0.008695904999513004,64
95,292,110,0.006494862000181456,32
96,444,126,0.006627626999943459,64
97,876,210,0.014153742999951646,64
98,1728,320,0.017927196000528056,128
99,1052,226,0.012568108000778011,128
100,820,216,0.012298185999497946,64
101,240,88,0.004897642999821983,32
102,1272,266,0.014746646999810764,128
103,584,162,0.008989485999336466,64
104,1728,346,0.020082600999558053,128
105,1084,238,0.013592562999292568,128
106,828,196,0.010362081000494072,64
107,1100,234,0.013254144000711676,128
108,1764,334,0.019989387999885366,128
109,260,100,0.005230556999777036,32
110,1352,282,0.016551805000744935,128
111,208,94,0.004978591000508459,16
112,588,160,0.008161170999301248,64
113,184,86,0.005063573999905202,16
114,536,148,0.008119523999994271,64
115,396,112,0.005985697999676631,64
116,664,172,0.011966957999902661,64
117,1420,294,0.016982833999463764,128
118,596,166,0.008897764000721509,64
119,544,150,0.008454869999695802,64
120,988,206,0.011788200000410143,128
121,212,96,0.0052557709996108315,16
122,552,152,0.00854121300017141,64
123,924,224,0.013078388999929302,64
124,584,164,0.009007354999994277,64
125,680,178,0.010290524000083678,64
126,1276,262,0.015376264000224182,128
127,908,224,0.0126533680004286,64
128,1788,340,0.020048807999955898,128
129,716,194,0.011206066999875475,64
130,1484,310,0.017417987000044377,128
131,572,156,0.008528606000254513,64
132,400,132,0.008646428000247397,32
133,736,194,0.010970352000185812,64
134,688,182,0.010011757999563997,64
135,448,128,0.007385013999737566,64
136,632,176,0.009949573999620043,64
137,632,178,0.009504188000391878,64
138,728,198,0.010960032000184583,64
139,1012,244,0.01441225599955942,64
140,860,212,0.012919303000671789,64
141,1212,260,0.015432357999998203,128
142,1304,266,0.016435306999483146,128
143,748,182,0.010764870999992127,64
144,284,108,0.005910224000217568,32
145,796,202,0.011648708999928203,64
146,1288,278,0.015738123999653908,128
147,392,136,0.0076870720004080795,32
148,640,172,0.011795290000009118,64
149,1212,252,0.014896853999744053,128
150,216,98,0.0049219639995499165,16
151,1268,258,0.01450368400037405,128
152,1348,278,0.02269372699993255,128
153,1092,232,0.012751385000228765,128
154,612,166,0.009223346999533533,64
155,888,216,0.012336217999290966,64
156,320,116,0.006330880999485089,32
157,692,186,0.010820512999998755,64
158,1052,228,0.012409174999447714,128
159,1152,252,0.01479738099988026,128
160,1008,220,0.011707243000273593,128
161,1388,296,0.017448757000238402,128
162,612,166,0.00965111599998636,64
163,436,140,0.010375503000432218,32
164,680,178,0.0104915539996,64
165,832,206,0.010741899000095145,64
166,656,186,0.010311770999578584,64
167,108,66,0.003794457999902079,16
168,1140,242,0.013681948000339617,128
169,1036,220,0.012507412999184453,128
170,740,190,0.010293992000697472,64
