,score,turns_taken,execution_time,largest_tile
0,3176,528,2.5728445000131615,256
1,2924,464,2.0444655000173952,256
2,5260,728,3.057240499998443,512
3,1624,326,1.34907050000038,128
4,3176,526,2.281412599986652,256
5,2192,358,1.8439616999821737,256
6,1572,312,1.4887537000176962,128
7,3464,572,2.348710000020219,256
8,5536,756,3.706857100012712,512
9,2972,480,2.2031962999899406,256
10,2900,474,1.9943120999960229,256
11,7052,962,4.059327499999199,512
12,3456,574,2.4720948000031058,256
13,5440,762,3.310872800007928,512
14,2028,378,1.811250900005689,128
15,7344,964,5.364630500000203,512
16,6932,934,5.929800800018711,512
17,3740,614,3.488155099999858,256
18,3172,526,3.3503444000089075,256
19,6924,944,6.71752999999444,512
20,5148,724,4.5256718000164255,512
21,6668,890,5.808591200009687,512
22,5688,760,4.95359190000454,512
23,3328,566,3.494192000012845,256
24,5876,826,4.551916700002039,512
25,2600,438,2.8379989999812096,256
26,5304,728,4.095067299989751,512
27,5168,722,3.60101549999672,512
28,5404,742,4.742758999986108,512
29,5376,752,5.025737999996636,512
30,5444,762,4.577350900013698,512
31,3084,504,3.5463952999853063,256
32,3040,492,3.0305073999916203,256
33,2940,476,3.1126474000047892,256
34,1308,266,2.001968199998373,128
35,5432,754,4.443491699988954,512
36,3088,506,3.214483299991116,256
37,1416,296,2.296191800007364,128
38,3036,496,3.152805499994429,256
39,4696,644,5.106683299993165,512
40,7136,976,6.552464500011411,512
41,3500,590,4.39863820001483,256
42,6392,860,6.015278900013072,512
43,3496,558,4.298712499992689,256
44,5236,718,5.2912786999950185,512
45,2732,462,3.229021399980411,256
46,5276,722,5.398781600000802,512
47,3040,492,4.038526999996975,256
48,2324,382,3.2194090000120923,256
49,6484,892,6.31578500001342,512
50,5328,740,4.925094699981855,512
51,2404,398,3.0716637000150513,256
52,3104,496,3.5301439999893773,256
53,3124,522,3.6369778999942355,256
54,5340,744,4.021589799987851,512
55,9580,1074,6.008282499999041,1024
56,3224,546,3.661265699978685,256
57,12208,1456,7.557759099989198,1024
58,3232,524,3.3743324000097346,256
59,3700,596,3.5315520000003744,256
60,3176,524,3.733941999991657,256
61,6764,910,5.754741200013086,512
62,6756,910,6.141189200017834,512
63,3068,504,3.779377700004261,256
64,2304,428,3.171806500002276,128
65,3228,542,4.10524040000746,256
66,7380,1026,6.312471400015056,512
67,3260,546,3.548067199997604,256
68,1680,338,2.0610097000026144,128
69,3128,510,2.768999399995664,256
70,2360,398,2.5756615000136662,256
71,7128,974,5.57738169998629,512
72,3408,552,3.309790500003146,256
73,2088,346,2.6315672999771778,256
74,5172,724,4.696085600007791,512
75,2796,492,2.909611999988556,256
76,3328,548,3.4328838999790605,256
77,2824,472,3.2422100999974646,256
78,10020,1172,6.522614199988311,1024
79,2124,354,2.2143035999906715,256
80,1668,334,2.362069299997529,128
81,2440,414,3.20207300002221,256
82,2912,464,2.7319000999850687,256
83,7104,984,4.740301100013312,512
84,5424,752,5.068569800001569,512
85,3288,542,3.144657199998619,256
86,3100,512,3.2192638000124134,256
87,6420,878,5.087810600001831,512
88,3536,578,3.5032802000059746,256
89,2420,404,2.96170240000356,256
90,2320,388,2.4780414999986533,256
91,5292,722,4.072775799984811,512
92,5608,780,4.833775699982652,512
93,3564,590,3.2612803999800235,256
94,1420,290,1.947233100014273,128
95,5064,704,3.7552063000039198,512
96,2740,438,2.6892489999881946,256
97,7132,974,5.775715199997649,512
98,1676,346,2.339393400005065,128
99,7216,978,5.5219568999891635,512
100,3068,504,3.44728349999059,256
101,2276,376,2.54918830000679,256
102,6484,870,5.803044300002512,512
103,6408,876,5.997620700014522,512
104,1324,274,1.482350200007204,128
105,5252,710,5.0646869000047445,512
106,2240,374,2.8680124999955297,256
107,2764,448,2.87047039999743,256
108,6636,912,5.3258480000076815,512
109,6800,922,5.807984899991425,512
110,3244,546,4.720170099986717,256
111,2864,466,3.361150999990059,256
112,2460,422,3.372111699980451,256
113,7444,1032,6.390463899995666,512
114,2868,484,3.140538799983915,256
115,4580,622,3.9552803999977186,512
116,3224,542,4.001456600002712,256
117,3316,562,4.185316599992802,256
118,2316,394,3.1693219000007957,256
119,6424,870,5.546377099992242,512
120,3092,510,3.248761700000614,256
121,3172,526,3.835865700006252,256
122,3240,528,3.3384656000125688,256
123,3104,498,4.080718200013507,256
124,5328,738,5.378739899984794,512
125,6480,898,5.291911500011338,512
126,3180,526,3.2914954999869224,256
127,6760,910,5.82635799999116,512
128,3152,520,3.668279299978167,256
129,3028,484,3.407432699983474,256
130,1352,278,1.8763749000208918,128
131,3056,508,3.3108390000124928,256
132,3052,498,3.558036299975356,256
133,3068,502,3.419212399981916,256
134,2692,426,2.7962507999909576,256
135,5328,728,4.980668499978492,512
136,5340,744,5.40282320001279,512
137,3156,526,5.324109100009082,256
138,3156,524,4.183399899979122,256
139,3096,510,4.010446500004036,256
140,5356,736,4.843441000004532,512
141,6452,886,5.66346790001262,512
142,5584,778,6.370433900010539,512
143,3112,514,4.030847299989546,256
144,1740,358,2.662535099982051,128
145,6200,844,6.1195465000055265,512
146,10416,1202,8.191195400024299,1024
147,5412,762,4.636247999995248,512
148,6640,900,5.48691060001147,512
149,1384,280,2.6291247000044677,128
150,7092,980,7.269888099981472,512
151,5348,728,4.535400999971898,512
152,11492,1354,9.544907200004673,1024
153,1508,310,2.413557199994102,128
154,2628,446,4.336518199997954,256
155,5476,778,6.677078100008657,512
156,1628,322,3.0512899000023026,128
157,1340,276,2.866262600000482,128
158,7172,994,8.258132600021781,512
159,3072,510,5.362683900020784,256
160,7024,946,7.789620499999728,512
161,2684,450,3.0935305999882985,256
162,6952,940,5.538562200003071,512
163,1548,318,2.532097799994517,128
164,3084,514,3.4003550999914296,256
165,5296,726,4.917208099999698,512
166,5348,738,4.672597600001609,512
167,2444,418,2.527041699999245,256
168,1564,306,1.8739523999975063,128
169,5440,764,4.624842999997782,512
170,6428,872,5.054437700018752,512
171,2724,446,3.1513814000063576,256
172,5156,696,4.4233762999938335,512
173,2980,472,3.1916239999991376,256
174,3200,524,3.3835176000138745,256
175,5216,708,4.425576999987243,512
176,3112,504,3.406311900005676,256
177,5276,720,4.930536800005939,512
178,5404,744,5.809841299982509,512
179,2776,450,3.334810700005619,256
180,5020,682,4.789753599994583,512
181,6744,888,5.709548299986636,512
182,7128,970,6.0649380999966525,512
183,3428,572,3.6192578000191133,256
184,4552,616,4.1013947000028566,512
185,2340,396,3.0903980000002775,256
186,3284,540,4.9525972999981605,256
187,7160,988,7.757158199994592,512
188,1448,302,2.1330627000133973,128
189,1508,302,2.582672399992589,128
190,3092,508,3.805202100018505,256
191,2664,454,3.399417499982519,256
192,3216,544,4.092609199986327,256
193,7172,988,5.778859600017313,512
194,7028,956,5.152747400017688,512
195,2144,404,2.3863803000131156,128
196,3072,504,3.558577999996487,256
197,5220,722,4.585529400006635,512
198,3120,520,3.15078490000451,256
199,3140,518,3.4148532999970485,256
